event,year,era,deaths,homes,source,icons
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Red Tuesday VIC,1898,Pre-2000,12,2000,AIDR,20
Dwellingup WA,1961,Pre-2000,0,160,Wikipedia,1
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
Longford VIC,1944,Pre-2000,15,700,Wikipedia,7
