event,year,era,deaths,homes,unit_type,unit_index
Black Saturday VIC,2009,Post-2000,180,2100,deaths,98
Black Saturday VIC,2009,Post-2000,180,2100,deaths,99
Black Saturday VIC,2009,Post-2000,180,2100,deaths,100
Black Saturday VIC,2009,Post-2000,180,2100,deaths,101
Black Saturday VIC,2009,Post-2000,180,2100,deaths,102
Black Saturday VIC,2009,Post-2000,180,2100,deaths,103
Black Saturday VIC,2009,Post-2000,180,2100,deaths,104
Black Saturday VIC,2009,Post-2000,180,2100,deaths,105
Black Saturday VIC,2009,Post-2000,180,2100,deaths,106
Black Saturday VIC,2009,Post-2000,180,2100,deaths,107
Black Saturday VIC,2009,Post-2000,180,2100,deaths,108
Black Saturday VIC,2009,Post-2000,180,2100,deaths,109
Black Saturday VIC,2009,Post-2000,180,2100,deaths,110
Black Saturday VIC,2009,Post-2000,180,2100,deaths,111
Black Saturday VIC,2009,Post-2000,180,2100,deaths,112
Black Saturday VIC,2009,Post-2000,180,2100,deaths,113
Black Saturday VIC,2009,Post-2000,180,2100,deaths,114
Black Saturday VIC,2009,Post-2000,180,2100,deaths,115
Black Saturday VIC,2009,Post-2000,180,2100,deaths,116
Black Saturday VIC,2009,Post-2000,180,2100,deaths,117
Black Saturday VIC,2009,Post-2000,180,2100,deaths,118
Black Saturday VIC,2009,Post-2000,180,2100,deaths,119
Black Saturday VIC,2009,Post-2000,180,2100,deaths,120
Black Saturday VIC,2009,Post-2000,180,2100,deaths,121
Black Saturday VIC,2009,Post-2000,180,2100,deaths,122
Black Saturday VIC,2009,Post-2000,180,2100,deaths,123
Black Saturday VIC,2009,Post-2000,180,2100,deaths,124
Black Saturday VIC,2009,Post-2000,180,2100,deaths,125
Black Saturday VIC,2009,Post-2000,180,2100,deaths,126
Black Saturday VIC,2009,Post-2000,180,2100,deaths,127
Black Saturday VIC,2009,Post-2000,180,2100,deaths,128
Black Saturday VIC,2009,Post-2000,180,2100,deaths,129
Black Saturday VIC,2009,Post-2000,180,2100,deaths,130
Black Saturday VIC,2009,Post-2000,180,2100,deaths,131
Black Saturday VIC,2009,Post-2000,180,2100,deaths,132
Black Saturday VIC,2009,Post-2000,180,2100,deaths,133
